text,marker
The sound of a lynx echoed through the dense forest.,"[15, 19]"
The guinea pig is known for its agility and sharp senses.,"[4, 14]"
The jaguar is known for its agility and sharp senses.,"[4, 10]"
Many tourists visit the park to see a wild cat.,"[43, 46]"
A group of researchers studied the hamster in its natural habitat.,"[35, 42]"
The cheetah was spotted near the river.,"[4, 11]"
Scientists are tracking the migration pattern of the coyote.,"[53, 59]"
The chimpanzee carefully observed its surroundings before moving.,"[4, 14]"
Many tourists visit the park to see a wild wolf.,"[43, 47]"
A group of researchers studied the orangutan in its natural habitat.,"[35, 44]"
"In ancient folklore, the lynx is considered a symbol of strength.","[25, 29]"
Scientists are tracking the migration pattern of the guinea pig.,"[53, 63]"
The jaguar carefully observed its surroundings before moving.,"[4, 10]"
The sound of a cat echoed through the dense forest.,"[15, 18]"
"In ancient folklore, the hamster is considered a symbol of strength.","[25, 32]"
The cheetah was spotted near the river.,"[4, 11]"
The coyote carefully observed its surroundings before moving.,"[4, 10]"
The chimpanzee was spotted near the river.,"[4, 14]"
The wolf carefully observed its surroundings before moving.,"[4, 8]"
A baby orangutan was rescued and taken to a wildlife sanctuary.,"[7, 16]"
"In ancient folklore, the lynx is considered a symbol of strength.","[25, 29]"
A baby guinea pig was rescued and taken to a wildlife sanctuary.,"[7, 17]"
A documentary was filmed about the life of a jaguar.,"[45, 51]"
A group of researchers studied the cat in its natural habitat.,"[35, 38]"
Scientists are tracking the migration pattern of the hamster.,"[53, 60]"
Many tourists visit the park to see a wild cheetah.,"[43, 50]"
A baby coyote was rescued and taken to a wildlife sanctuary.,"[7, 13]"
The chimpanzee carefully observed its surroundings before moving.,"[4, 14]"
Scientists are tracking the migration pattern of the wolf.,"[53, 57]"
Many tourists visit the park to see a wild orangutan.,"[43, 52]"
The lynx carefully observed its surroundings before moving.,"[4, 8]"
A group of researchers studied the guinea pig in its natural habitat.,"[35, 45]"
The jaguar carefully observed its surroundings before moving.,"[4, 10]"
Scientists are tracking the migration pattern of the cat.,"[53, 56]"
A documentary was filmed about the life of a hamster.,"[45, 52]"
A documentary was filmed about the life of a cheetah.,"[45, 52]"
A group of researchers studied the coyote in its natural habitat.,"[35, 41]"
A documentary was filmed about the life of a chimpanzee.,"[45, 55]"
The wolf carefully observed its surroundings before moving.,"[4, 8]"
Many tourists visit the park to see a wild orangutan.,"[43, 52]"
A documentary was filmed about the life of a lynx.,"[45, 49]"
The guinea pig was spotted near the river.,"[4, 14]"
Scientists are tracking the migration pattern of the jaguar.,"[53, 59]"
A documentary was filmed about the life of a cat.,"[45, 48]"
The hamster carefully observed its surroundings before moving.,"[4, 11]"
A group of researchers studied the cheetah in its natural habitat.,"[35, 42]"
A documentary was filmed about the life of a coyote.,"[45, 51]"
A group of researchers studied the chimpanzee in its natural habitat.,"[35, 45]"
The wolf was spotted near the river.,"[4, 8]"
The sound of a orangutan echoed through the dense forest.,"[15, 24]"
The lynx is known for its agility and sharp senses.,"[4, 8]"
The guinea pig is known for its agility and sharp senses.,"[4, 14]"
"In ancient folklore, the jaguar is considered a symbol of strength.","[25, 31]"
The cat carefully observed its surroundings before moving.,"[4, 7]"
A baby hamster was rescued and taken to a wildlife sanctuary.,"[7, 14]"
The sound of a cheetah echoed through the dense forest.,"[15, 22]"
The coyote is known for its agility and sharp senses.,"[4, 10]"
Many tourists visit the park to see a wild chimpanzee.,"[43, 53]"
The wolf was spotted near the river.,"[4, 8]"
The orangutan is known for its agility and sharp senses.,"[4, 13]"
A group of researchers studied the lynx in its natural habitat.,"[35, 39]"
A documentary was filmed about the life of a guinea pig.,"[45, 55]"
"In ancient folklore, the jaguar is considered a symbol of strength.","[25, 31]"
Many tourists visit the park to see a wild cat.,"[43, 46]"
"In ancient folklore, the hamster is considered a symbol of strength.","[25, 32]"
"In ancient folklore, the cheetah is considered a symbol of strength.","[25, 32]"
A baby coyote was rescued and taken to a wildlife sanctuary.,"[7, 13]"
The chimpanzee is known for its agility and sharp senses.,"[4, 14]"
Many tourists visit the park to see a wild wolf.,"[43, 47]"
The orangutan was spotted near the river.,"[4, 13]"
"In ancient folklore, the lynx is considered a symbol of strength.","[25, 29]"
The sound of a guinea pig echoed through the dense forest.,"[15, 25]"
The jaguar carefully observed its surroundings before moving.,"[4, 10]"
Scientists are tracking the migration pattern of the cat.,"[53, 56]"
The sound of a hamster echoed through the dense forest.,"[15, 22]"
A group of researchers studied the cheetah in its natural habitat.,"[35, 42]"
A group of researchers studied the coyote in its natural habitat.,"[35, 41]"
The chimpanzee was spotted near the river.,"[4, 14]"
A group of researchers studied the wolf in its natural habitat.,"[35, 39]"
A documentary was filmed about the life of a orangutan.,"[45, 54]"
A group of researchers studied the lynx in its natural habitat.,"[35, 39]"
The guinea pig carefully observed its surroundings before moving.,"[4, 14]"
The sound of a jaguar echoed through the dense forest.,"[15, 21]"
Many tourists visit the park to see a wild cat.,"[43, 46]"
A group of researchers studied the hamster in its natural habitat.,"[35, 42]"
The cheetah carefully observed its surroundings before moving.,"[4, 11]"
The coyote is known for its agility and sharp senses.,"[4, 10]"
"In ancient folklore, the chimpanzee is considered a symbol of strength.","[25, 35]"
